Region/country/area,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Algeria,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Total renewable energy,787.579,787.579,873.189,953.216,1020.515,1020.515,1751.783,2444.719,3112.731,3447.661,3781.668,3781.736,4065.736
Angola,Hydropower,787.579,787.579,873.179,953.179,969.179,969.179,1700.439,2393.279,3061.279,3395.279,3729.279,3729.279,3729.279
Angola,Renewable hydropower,787.579,787.579,873.179,953.179,969.179,969.179,1700.439,2393.279,3061.279,3395.279,3729.279,3729.279,3729.279
Angola,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Solar,0,0,0.01,0.037,0.336,0.336,0.344,0.44,0.452,1.382,1.389,1.457,285.457
Angola,Solar photovoltaic,0,0,0.01,0.037,0.336,0.336,0.344,0.44,0.452,1.382,1.389,1.457,285.457
Angola,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Bioenergy,0,0,0,0,51,51,51,51,51,51,51,51,51
Angola,Solid biofuels and renewable municipal waste,0,0,0,0,51,51,51,51,51,51,51,51,51
Angola,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Bagasse,0,0,0,0,51,51,51,51,51,51,51,51,51
Angola,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Total renewable energy,0.5,0.5,0.5,0.5,0.7,1.7,3.4,3.4,3.4,3.4,3.44,3.44,28.44
Benin,Hydropower,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Benin,Renewable hydropower,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Benin,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Solar,0,0,0,0,0.2,1.2,2.9,2.9,2.9,2.9,2.94,2.94,27.94
Benin,Solar photovoltaic,0,0,0,0,0.2,1.2,2.9,2.9,2.9,2.9,2.94,2.94,27.94
Benin,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Total renewable energy,0.139,0.169,1.615,1.715,1.86,2.153,3.28,3.415,3.72,5.919,5.919,6.269,6.269
Botswana,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Marine,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Wind,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Solar,0.139,0.169,1.615,1.715,1.86,2.153,3.28,3.415,3.72,5.919,5.919,6.269,6.269
Botswana,Solar photovoltaic,0.139,0.169,1.615,1.715,1.86,2.153,3.28,3.415,3.72,5.919,5.919,6.269,6.269
Botswana,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0,0
