CountryName,Technology,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Algeria,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Algeria,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Total renewable energy,3685.589,4042.916,3839.843,3638.607,5076.405,5082.405,6441.614,9044.797,11523.564,12764.259,14003.645,14003.741
Angola,Hydropower,3685.589,4042.915,3839.829,3638.555,5039.928,5039.928,6286.126,8844.173,11322.922,12562.297,13801.672,13801.672
Angola,Renewable hydropower,3685.589,4042.915,3839.829,3638.555,5039.928,5039.928,6286.126,8844.173,11322.922,12562.297,13801.672,13801.672
Angola,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Solar,0,0.001,0.014,0.052,0.477,0.477,0.488,0.624,0.642,1.962,1.973,2.069
Angola,Solar photovoltaic,0,0.001,0.014,0.052,0.477,0.477,0.488,0.624,0.642,1.962,1.973,2.069
Angola,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Bioenergy,0,0,0,0,36,42,155,200,200,200,200,200
Angola,Solid biofuels and renewable municipal waste,0,0,0,0,36,42,155,200,200,200,200,200
Angola,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Bagasse,0,0,0,0,36,42,155,200,200,200,200,200
Angola,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Angola,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Total renewable energy,0,0,0.348,0,0.495,3.701,5.337,5.409,5.409,5.41,5.41,2.909
Benin,Hydropower,0,0,0.348,0,0,1.125,0,0.072,0.072,0.072,0.072,0.072
Benin,Renewable hydropower,0,0,0.348,0,0,1.125,0,0.072,0.072,0.072,0.072,0.072
Benin,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Solar,0,0,0,0,0.495,2.576,5.337,5.337,5.337,5.338,5.338,2.837
Benin,Solar photovoltaic,0,0,0,0,0.495,2.576,5.337,5.337,5.337,5.338,5.338,2.837
Benin,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Benin,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Total renewable energy,0.238,0.289,1.092,2.376,2.891,3.326,5.239,5.47,5.992,5.941,5.941,6.128
Botswana,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Solar,0.238,0.289,1.092,2.376,2.891,3.326,5.239,5.47,5.992,5.941,5.941,6.128
Botswana,Solar photovoltaic,0.238,0.289,1.092,2.376,2.891,3.326,5.239,5.47,5.992,5.941,5.941,6.128
Botswana,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Bioenergy,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Total renewable energy,117.738,82.149,97.746,107.393,93.223,97.862,144.585,143.58,175.939,204.573,209.561,233.916
Burkina Faso,Hydropower,117.538,81.949,96.646,105.543,90.473,93.462,139.485,127.933,91.447,112.833,119.909,135.016
Burkina Faso,Renewable hydropower,117.538,81.949,96.646,105.543,90.473,93.462,139.485,127.933,91.447,112.833,119.909,135.016
Burkina Faso,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Solar,0.2,0.2,1.1,1.8,2.6,4.1,4.8,14.347,83.192,90.44,88.352,97.6
Burkina Faso,Solar photovoltaic,0.2,0.2,1.1,1.8,2.6,4.1,4.8,14.347,83.192,90.44,88.352,97.6
Burkina Faso,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Bioenergy,0,0,0,0.05,0.15,0.3,0.3,1.3,1.3,1.3,1.3,1.3
Burkina Faso,Solid biofuels and renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Bagasse,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,Liquid biofuels,0,0,0,0.05,0.15,0.3,0.3,0.3,0.3,0.3,0.3,0.3
Burkina Faso,Biogas,0,0,0,0,0,0,0,1,1,1,1,1
Burkina Faso,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Total renewable energy,134.487,143.712,150.429,171.231,184.161,177.889,181.79,189.051,248.705,271.943,279.105,278.173
Burundi,Hydropower,129.809,137.988,144.112,163.737,177.713,170.994,172.824,179.509,240.08,263.561,270.291,270.291
Burundi,Renewable hydropower,129.809,137.988,144.112,163.737,177.713,170.994,172.824,179.509,240.08,263.561,270.291,270.291
Burundi,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Wind,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Onshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Solar,0,0,0.626,0.626,0.626,1.092,2.334,2.956,2.956,2.956,3.266,2.334
Burundi,Solar photovoltaic,0,0,0.626,0.626,0.626,1.092,2.334,2.956,2.956,2.956,3.266,2.334
Burundi,Concentrated solar power,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Bioenergy,4.678,5.724,5.691,6.868,5.822,5.803,6.632,6.586,5.669,5.426,5.548,5.548
Burundi,Solid biofuels and renewable municipal waste,4.678,5.724,5.691,6.868,5.822,5.803,6.632,6.586,5.669,5.426,5.548,5.548
Burundi,Renewable municipal waste,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Bagasse,4.678,5.724,5.691,6.868,5.822,5.803,6.632,6.586,5.669,5.426,5.548,5.548
Burundi,Other solid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Liquid biofuels,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Biogas,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,Geothermal,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Total renewable energy,4.097,24.561,70.494,83.259,89.207,85.021,82.569,74.928,89.352,82.78,70.523,80.668
Cabo Verde,Hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Renewable hydropower,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Pumped storage,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Marine,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Wind,1.992,15.605,63.03,76.006,82.56,78.813,76.932,68.318,80.231,73.795,63.932,73.784
Cabo Verde,Onshore wind energy,1.992,15.605,63.03,76.006,82.56,78.813,76.932,68.318,80.231,73.795,63.932,73.784
Cabo Verde,Offshore wind energy,0,0,0,0,0,0,0,0,0,0,0,0
Cabo Verde,Solar,2.105,8.956,7.464,7.253,6.647,6.208,5.637,6.61,9.121,8.985,6.591,6.884
